"stateCode","2021-12-22","2022-01-13","2022-01-27","paxlovidCoursesPer100000"
"AK",16.4123212766598,24.6184819149896,24.6184819149896,28.3112542022381
"AL",15.848723527552,24.3826515808492,24.3826515808492,18.0025244171937
"AR",15.8388554843027,24.4182355383,24.4182355383,20.8874906699242
"AZ",14.8219992424611,22.9067261019853,22.9067261019853,20.589104402255
"CA",15.6979977534082,24.2836340651428,24.2836340651428,18.1212809017499
"CO",15.1522482406604,23.4171109173843,23.4171109173843,20.6449382278998
"CT",16.8681188617618,25.3021782926427,25.8644489213681,13.7756304037722
"DE",16.213877254869,24.3208158823035,24.3208158823035,NA
"FL",15.5521625051902,24.1104531145552,24.1104531145552,7.55522214009535
"GA",15.1260264106023,23.1558922828974,23.342633349695,15.4061380107987
"HI",17.0574965565179,25.5862448347768,25.5862448347768,20.4689958678215
"IA",15.8049742047016,24.6557597593345,24.6557597593345,27.2477755289056
"ID",14.2316574461948,21.8948576095304,21.8948576095304,9.74321163624102
"IL",16.2065154958916,25.1042102779497,25.1042102779497,19.9562582969018
"IN",15.6921891240398,23.982402246174,23.982402246174,22.9461256059073
"KS",15.7869177930575,24.0235705546528,24.0235705546528,9.47215067583452
"KY",16.0812963132958,24.5686471453131,24.5686471453131,17.0417070653399
"LA",15.9300181386936,24.5408387542037,24.5408387542037,24.5623658057425
"MA",16.2470149736552,25.2408982626429,25.2408982626429,26.1402865915416
"MD",15.852565853375,24.4393723572865,24.7696341458984,16.7442726826273
"ME",17.7759211815655,26.6638817723482,26.6638817723482,25.7750857132699
"MI",16.0536915714607,24.8832219357642,24.8832219357642,24.873188378532
"MN",15.5550079878501,24.0395577994047,24.0395577994047,19.4967884211349
"MO",15.9309494130583,24.384106244477,24.384106244477,24.5954351652625
"MS",16.1791244801614,24.9428169069154,24.9428169069154,27.1674465229376
"MT",16.6577671003547,24.0612191449568,24.0612191449568,13.7889294330714
"NC",15.2818323633929,23.5830746348656,23.7717392319445,15.4233308112021
"ND",15.6799410434217,26.1332350723695,26.1332350723695,1.30666175361847
"NE",15.4834554117773,23.7412982980586,23.7412982980586,10.3739151258908
"NH",17.5660097710929,26.3490146566394,26.3490146566394,28.8375327075442
"NJ",15.9867224640808,24.7681615640689,24.9933266691968,9.99733066767871
"NM",16.1419044313801,24.6876185421107,24.6876185421107,29.0554279764841
"NV",15.2951047061444,22.9426570592166,22.9426570592166,12.6503261840403
"NY",16.4453474560599,25.4437451206964,25.5471749789107,22.1857045869487
"OH",15.9066576802603,24.6296635049191,24.6296635049191,19.4471718090924
"OK",15.5748253547104,23.6134448926254,24.1158586137451,19.7448592400038
"OR",16.0320376696302,24.5195870241402,24.5195870241402,9.35988081594584
"PA",16.2712874202453,25.1892045640335,25.3456592507667,29.2648491534315
"RI",17.0273146505853,26.4869339009105,26.4869339009105,15.040794608017
"SC",15.331427125894,23.7637120451357,23.7637120451357,20.8890694590306
"SD",15.68246151916,24.6438681015372,24.6438681015372,13.1060571267266
"TN",15.3916879657619,23.8135549658958,24.103964172797,19.3702941003079
"TX",14.4410435711148,22.274628527144,22.3427466571964,11.1475319830799
"UT",13.5389656045656,20.9238559343286,20.9238559343286,6.21561602755056
"VA",15.831325606948,24.2126156341558,24.4454292460226,18.6600109911306
"VT",19.2509148195147,28.876372229272,28.876372229272,22.7802492030923
"WA",15.3373993905593,23.3960329686498,23.6559888905237,13.5826969179106
"WI",16.1161597934388,24.6885852154808,24.6885852154808,23.6770390156798
"WV",16.8087284365025,26.893965498404,26.893965498404,27.1180818775574
"WY",17.1724526383756,27.475924221401,27.475924221401,17.5159016911431
