"NAME","stateCode","POPESTIMATE2020"
"Alabama","AL",4921532
"Alaska","AK",731158
"Arizona","AZ",7421401
"Arkansas","AR",3030522
"California","CA",39368078
"Colorado","CO",5807719
"Connecticut","CT",3557006
"Delaware","DE",986809
"Florida","FL",21733312
"Georgia","GA",10710017
"Hawaii","HI",1407006
"Idaho","ID",1826913
"Illinois","IL",12587530
"Indiana","IN",6754953
"Iowa","IA",3163561
"Kansas","KS",2913805
"Kentucky","KY",4477251
"Louisiana","LA",4645318
"Maine","ME",1350141
"Maryland","MD",6055802
"Massachusetts","MA",6893574
"Michigan","MI",9966555
"Minnesota","MN",5657342
"Mississippi","MS",2966786
"Missouri","MO",6151548
"Montana","MT",1080577
"Nebraska","NE",1937552
"Nevada","NV",3138259
"New Hampshire","NH",1366275
"New Jersey","NJ",8882371
"New Mexico","NM",2106319
"New York","NY",19336776
"North Carolina","NC",10600823
"North Dakota","ND",765309
"Ohio","OH",11693217
"Oklahoma","OK",3980783
"Oregon","OR",4241507
"Pennsylvania","PA",12783254
"Rhode Island","RI",1057125
"South Carolina","SC",5218040
"South Dakota","SD",892717
"Tennessee","TN",6886834
"Texas","TX",29360759
"Utah","UT",3249879
"Vermont","VT",623347
"Virginia","VA",8590563
"Washington","WA",7693612
"West Virginia","WV",1784787
"Wisconsin","WI",5832655
"Wyoming","WY",582328
